age,gender,activity_level,goal,preferred_cuisine,dietary_restrictions,meals_per_day,budget_level,recommended_diet
38,Male,Moderate,Endurance,Any,None,3,Medium,Zone Diet
28,Female,High,Maintenance,Mediterranean,None,3,High,Whole30
30,Male,Low,Weight Loss,Indian,Gluten-Free,3,Low,Fat Loss
26,Female,Moderate,Fat Loss,Indian,None,3,Medium,Paleo
34,Male,High,Muscle Gain,Asian,None,3,High,Bodybuilder
23,Female,Low,Endurance,Indian,None,3,Medium,Balanced
32,Male,Moderate,Maintenance,Any,None,3,Medium,Flexitarian
29,Female,High,Weight Loss,Mediterranean,Gluten-Free,3,Medium,Intermittent Fasting
37,Male,Low,Diabetes Management,Indian,None,3,Low,Diabetic-Friendly
21,Female,Moderate,PCOS Management,Indian,Nut-Free,3,Medium,PCOS-Friendly
35,Male,High,Muscle Gain,Indian,None,2,High,High Protein
